acousticness,danceability,energy,instrumentalness,key,loudness,mode,speechiness,valence,target
0.00369,0.647,0.762,0.00641,0,-7.765,1,0.0363,0.438,1
0.765,0.561,0.896,0.685,2,-4.903,1,0.0528,0.654,1
0.000195,0.77,0.895,0.897,7,-8.102,0,0.0488,0.678,1
0.000595,0.805,0.79,0.889,0,-7.93,1,0.0577,0.533,1
0.518,0.683,0.708,2.08E-05,4,-6.852,0,0.0289,0.967,1
0.666,0.354,0.366,0,5,-10.799,0,0.0345,0.561,1
0.128,0.889,0.597,0.0004,9,-7.301,0,0.374,0.261,1
0.00138,0.881,0.564,0,2,-5.239,1,0.232,0.36,1
0.278,0.716,0.568,1.98E-06,2,-8.904,1,0.212,0.915,1
0.183,0.716,0.957,0.058,3,-4.814,1,0.0689,0.93,1
0.643,0.729,0.666,0.135,5,-10.721,1,0.0525,0.872,1
0.312,0.76,0.636,0.534,8,-11.605,1,0.0902,0.682,1
0.315,0.65,0.448,0,5,-9.979,1,0.0947,0.193,1
0.0664,0.643,0.889,0.884,3,-7.043,0,0.0499,0.658,1
0.29,0.857,0.484,3.04E-06,10,-6.232,0,0.148,0.729,1
2.15E-05,0.657,0.699,0.153,11,-4.718,0,0.0297,0.531,1
0.22,0.234,0.747,0.000176,11,-3.332,0,0.0577,0.365,1
0.0436,0.805,0.634,0,7,-7.759,1,0.0535,0.76,1
0.0842,0.671,0.784,0.0121,4,-5.514,0,0.0303,0.545,1
0.304,0.614,0.575,0.0116,5,-5.819,0,0.0285,0.284,1
0.00042,0.22,0.94,0.000541,0,-2.397,1,0.0511,0.72,1
0.377,0.818,0.528,0,2,-10.666,0,0.0716,0.895,1
0.253,0.603,0.434,0.0619,0,-11.062,1,0.0342,0.381,1
0.0252,0.34,0.805,0,7,-3.397,1,0.0387,0.654,1
0.00158,0.857,0.831,0,2,-4.664,1,0.0995,0.251,1
0.00134,0.789,0.682,1.39E-06,10,-6.841,0,0.054,0.562,1
0.155,0.822,0.863,0.000632,7,-8.035,1,0.196,0.608,1
0.186,0.711,0.705,0,10,-6.248,0,0.252,0.403,1
0.00159,0.865,0.603,0.428,3,-11.289,1,0.0532,0.595,1
0.00757,0.393,0.838,0.145,9,-3.815,1,0.0985,0.474,1
0.282,0.735,0.4,0.125,1,-12.766,1,0.102,0.326,1
0.00781,0.879,0.512,1.45E-05,0,-7.83,1,0.0775,0.277,1
0.00672,0.876,0.606,1.06E-05,0,-5.471,1,0.0645,0.249,1
0.349,0.545,0.507,2.92E-06,0,-7.534,0,0.0392,0.685,1
0.847,0.661,0.76,0.334,9,-9.509,1,0.0918,0.975,1
0.000259,0.644,0.758,0.0708,5,-7.859,1,0.0458,0.752,1
0.107,0.645,0.924,0.0266,10,-7.697,0,0.0569,0.886,1
0.388,0.704,0.942,0.0147,2,-5.115,0,0.171,0.584,1
0.00419,0.748,0.741,0,6,-3.103,1,0.0531,0.533,1
0.00256,0.618,0.717,0,7,-5.738,1,0.318,0.601,1
0.0244,0.746,0.873,0,7,-3.803,1,0.128,0.808,1
0.0062,0.748,0.733,0,11,-4.421,0,0.072,0.273,1
0.000199,0.284,0.961,0,9,-3.993,1,0.0567,0.199,1
0.00341,0.491,0.935,0.348,1,-4.22,1,0.0343,0.964,1
7.79E-05,0.351,0.931,0.129,6,-5.746,0,0.0539,0.604,1
0.001,0.48,0.964,0.000273,7,-3.681,1,0.0656,0.579,1
3.41E-05,0.123,0.963,0.0329,10,-4.182,1,0.0543,0.68,1
0.00814,0.401,0.972,0.878,0,-2.236,1,0.0886,0.405,1
0.00023,0.228,0.886,0.848,9,-3.87,0,0.0497,0.499,1
0.000455,0.428,0.972,0.000854,11,-4.329,0,0.0514,0.48,1
